iter	Passed	Remaining
0	11	11037
1	20	10311
2	31	10414
3	40	10000
4	47	9526
5	57	9456
6	67	9515
7	76	9515
8	82	9078
9	88	8802
10	100	9057
11	109	9053
12	118	8986
13	127	8988
14	139	9133
15	146	8983
16	154	8957
17	165	9019
18	172	8899
19	181	8890
20	190	8896
21	202	9009
22	212	9040
23	226	9226
24	236	9239
25	247	9272
26	258	9298
27	265	9222
28	276	9264
29	286	9249
30	297	9290
31	307	9308
32	316	9280
33	327	9299
34	338	9321
35	348	9333
36	358	9342
37	370	9385
38	381	9392
39	391	9398
40	402	9411
41	412	9408
42	421	9389
43	431	9385
44	442	9389
45	452	9386
46	460	9331
47	470	9338
48	483	9379
49	493	9377
50	504	9390
51	515	9389
52	525	9393
53	536	9404
54	547	9399
55	556	9376
56	565	9360
57	575	9350
58	586	9359
59	598	9374
60	608	9373
61	619	9365
62	629	9366
63	640	9372
64	651	9373
65	662	9371
66	668	9304
67	678	9301
68	689	9309
69	700	9311
70	710	9300
71	721	9300
72	732	9296
73	742	9287
74	751	9262
75	761	9260
76	771	9248
77	781	9243
78	792	9235
79	801	9221
80	812	9220
81	822	9210
82	832	9200
83	843	9202
84	854	9193
85	865	9196
86	875	9191
87	886	9189
88	897	9182
89	906	9168
90	918	9172
91	928	9168
92	939	9163
93	949	9154
94	961	9156
95	972	9155
96	982	9148
97	992	9139
98	1003	9134
99	1014	9129
100	1024	9121
101	1035	9117
102	1046	9110
103	1057	9112
104	1067	9102
105	1080	9112
106	1090	9102
107	1103	9110
108	1113	9104
109	1123	9093
110	1133	9081
111	1144	9072
112	1154	9058
113	1165	9054
114	1174	9042
115	1185	9038
116	1197	9035
117	1207	9026
118	1218	9019
119	1228	9005
120	1237	8987
121	1247	8980
122	1258	8970
123	1268	8963
124	1280	8961
125	1290	8952
126	1301	8946
127	1312	8942
128	1324	8941
129	1335	8935
130	1346	8933
131	1358	8931
132	1368	8923
133	1379	8917
134	1390	8906
135	1400	8899
136	1411	8892
137	1422	8883
138	1433	8878
139	1444	8870
140	1454	8862
141	1466	8858
142	1477	8854
143	1488	8845
144	1498	8837
145	1509	8828
146	1519	8818
147	1530	8810
148	1541	8805
149	1552	8798
150	1563	8789
151	1575	8787
152	1586	8780
153	1596	8770
154	1606	8759
155	1618	8756
156	1629	8746
157	1639	8738
158	1650	8731
159	1661	8723
160	1672	8715
161	1683	8708
162	1695	8706
163	1705	8694
164	1716	8684
165	1726	8676
166	1737	8664
167	1742	8627
168	1752	8616
169	1762	8607
170	1774	8603
171	1784	8592
172	1795	8581
173	1805	8573
174	1816	8565
175	1828	8559
176	1838	8549
177	1849	8542
178	1861	8538
179	1872	8531
180	1882	8517
181	1892	8507
182	1902	8495
183	1914	8488
184	1924	8477
185	1932	8459
186	1943	8448
187	1953	8438
188	1964	8430
189	1973	8415
190	1983	8401
191	1993	8389
192	2000	8365
193	2011	8355
194	2021	8343
195	2030	8328
196	2040	8316
197	2049	8303
198	2059	8289
199	2069	8279
200	2079	8267
201	2090	8259
202	2100	8245
203	2110	8236
204	2120	8222
205	2128	8204
206	2139	8194
207	2146	8173
208	2156	8161
209	2165	8146
210	2174	8132
211	2184	8117
212	2194	8107
213	2204	8095
214	2213	8080
215	2224	8072
216	2234	8063
217	2243	8048
218	2254	8039
219	2261	8018
220	2271	8007
221	2284	8005
222	2294	7994
223	2304	7982
224	2314	7972
225	2324	7961
226	2335	7953
227	2345	7942
228	2355	7929
229	2367	7924
230	2377	7915
231	2387	7904
232	2398	7895
233	2408	7885
234	2419	7877
235	2429	7866
236	2440	7855
237	2450	7846
238	2461	7836
239	2472	7828
240	2482	7818
241	2493	7809
242	2504	7800
243	2515	7794
244	2526	7786
245	2537	7776
246	2548	7769
247	2561	7767
248	2573	7760
249	2583	7750
250	2589	7727
251	2599	7716
252	2609	7703
253	2619	7694
254	2630	7684
255	2639	7670
256	2649	7660
257	2658	7644
258	2668	7633
259	2672	7605
260	2681	7592
261	2690	7577
262	2701	7568
263	2712	7561
264	2720	7545
265	2731	7536
266	2741	7525
267	2749	7510
268	2762	7507
269	2772	7495
270	2783	7487
271	2794	7480
272	2803	7466
273	2815	7458
274	2826	7450
275	2836	7441
276	2846	7428
277	2856	7418
278	2863	7400
279	2873	7387
280	2881	7372
281	2892	7364
282	2902	7352
283	2913	7344
284	2923	7335
285	2934	7327
286	2944	7315
287	2955	7306
288	2965	7294
289	2975	7284
290	2986	7275
291	2996	7265
292	3007	7256
293	3019	7250
294	3029	7240
295	3040	7230
296	3051	7222
297	3061	7212
298	3072	7203
299	3083	7194
300	3093	7183
301	3104	7175
302	3115	7166
303	3126	7158
304	3136	7147
305	3147	7138
306	3157	7127
307	3168	7119
308	3179	7111
309	3190	7100
310	3200	7091
311	3211	7081
312	3222	7071
313	3233	7064
314	3244	7055
315	3255	7047
316	3266	7038
317	3276	7027
318	3287	7017
319	3297	7007
320	3308	6998
321	3319	6990
322	3330	6980
323	3341	6972
324	3352	6962
325	3362	6952
326	3373	6942
327	3384	6933
328	3395	6924
329	3405	6914
330	3417	6907
331	3428	6898
332	3437	6885
333	3448	6876
334	3459	6868
335	3470	6859
336	3481	6848
337	3493	6842
338	3506	6836
339	3516	6826
340	3527	6817
341	3538	6807
342	3550	6800
343	3560	6789
344	3570	6779
345	3581	6769
346	3591	6759
347	3602	6749
348	3613	6739
349	3624	6730
350	3635	6721
351	3645	6711
352	3656	6701
353	3667	6691
354	3677	6682
355	3688	6672
356	3699	6662
357	3709	6652
358	3720	6643
359	3731	6633
360	3742	6624
361	3752	6614
362	3764	6605
363	3773	6593
364	3784	6584
365	3795	6574
366	3805	6564
367	3816	6555
368	3827	6545
369	3838	6535
370	3850	6528
371	3861	6519
372	3872	6509
373	3883	6500
374	3896	6493
375	3907	6485
376	3919	6477
377	3930	6468
378	3941	6458
379	3952	6448
